from_latitude,from_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,Time_taken(hours)
18.55144,73.804855,18.59144,73.844855,15:40:00,conditions Fog,Medium ,2.0,scooter ,1,No ,7
25.449659,81.839744,25.469659,81.859744,10:30:00,conditions Sandstorms,Low ,2.0,electric_scooter ,0,No ,4
30.372202,78.077151,30.422202,78.127151,21:00:00,conditions Stormy,Jam ,2.0,motorcycle ,1,No ,20
0.0,0.0,0.02,0.02,10:50:00,conditions Stormy,Low ,1.0,scooter ,1,No ,5
0.0,0.0,0.04,0.04,16:05:00,conditions Fog,Medium ,2.0,scooter ,1,No ,6
12.972793,80.249982,13.062793,80.339982,20:15:00,conditions Cloudy,Jam ,1.0,scooter ,1,No ,26
21.157735,72.768778,21.197735,72.808778,12:15:00,conditions Sunny,High ,1.0,scooter ,1,No ,8
21.186438,72.794115,21.226438,72.834115,15:45:00,conditions Fog,Medium ,1.0,scooter ,0,No ,7
0.0,0.0,0.08,0.08,22:15:00,conditions Sandstorms,Low ,1.0,motorcycle ,1,No ,5
0.0,0.0,0.02,0.02,10:45:00,conditions Fog,Low ,0.0,motorcycle ,1,No ,7
12.935662,77.61413,12.975662,77.65413,15:30:00,conditions NaN,NaN ,1.0,scooter ,0,No ,9
17.431477,78.40035,17.491477,78.46035,00:05:00,conditions Fog,Low ,1.0,motorcycle ,0,No ,0
0.0,0.0,0.05,0.05,21:25:00,conditions Fog,Jam ,1.0,motorcycle ,1,No ,17
13.064181,80.236442,13.154181,80.326442,20:40:00,conditions Sandstorms,Jam ,1.0,motorcycle ,2,No ,27
12.933298,77.614293,13.023298,77.704293,21:00:00,conditions Fog,Jam ,1.0,scooter ,2,No ,34
22.311358,73.164798,22.351358,73.204798,12:45:00,conditions Windy,High ,2.0,electric_scooter ,1,No ,18
12.934365,77.616155,13.044365,77.726155,21:15:00,conditions Cloudy,Jam ,2.0,scooter ,1,No ,32
0.0,0.0,0.11,0.11,23:55:00,conditions Windy,Low ,1.0,motorcycle ,1,No ,15
13.086438,80.220672,13.196438,80.330672,18:20:00,conditions Cloudy,Medium ,2.0,scooter ,1,No ,29
19.254567,72.848923,19.364567,72.958923,18:25:00,conditions Stormy,Medium ,0.0,motorcycle ,0,No ,10
26.913483,75.803139,26.933483,75.823139,11:50:00,conditions Stormy,High ,1.0,motorcycle ,1,No ,21
17.411028,78.329645,17.471028,78.389645,20:55:00,conditions Stormy,Jam ,1.0,motorcycle ,0,No ,3
18.516216,73.842527,18.566216,73.892527,22:10:00,conditions Stormy,Jam ,1.0,motorcycle ,NaN ,No ,18
15.5696,73.742294,15.6096,73.782294,12:50:00,conditions Windy,High ,1.0,scooter ,1,No ,9
19.876428,75.364792,19.956428,75.444792,23:45:00,conditions Fog,Low ,0.0,motorcycle ,2,Yes ,32
12.939496,77.625999,12.949496,77.635999,10:55:00,conditions Fog,Low ,0.0,motorcycle ,1,No ,13
17.433809,78.386744,17.543809,78.496744,21:40:00,conditions Stormy,Jam ,0.0,motorcycle ,1,No ,29
23.374878,85.335739,23.384878,85.345739,10:20:00,conditions Stormy,Low ,2.0,motorcycle ,1,No ,15
-27.163303,78.057044,27.233303,78.127044,23:05:00,conditions Sandstorms,Low ,1.0,scooter ,0,No ,5
22.74806,75.8934,22.76806,75.9134,08:55:00,conditions Cloudy,Low ,2.0,scooter ,1,No ,5
26.891191,75.802083,26.981191,75.892083,17:55:00,conditions Sunny,Medium ,2.0,electric_scooter ,0,No ,5
21.160437,72.774209,21.270437,72.884209,20:40:00,conditions Stormy,Jam ,1.0,motorcycle ,NaN ,No ,5
12.316967,76.603067,12.366967,76.653067,22:25:00,conditions Sunny,Low ,0.0,motorcycle ,0,No ,8
18.927584,72.832585,19.017584,72.922585,23:50:00,conditions Sandstorms,Low ,2.0,electric_scooter ,0,No ,19
11.022298,76.998349,11.072298,77.048349,23:30:00,conditions Fog,Low ,0.0,motorcycle ,0,No ,10
12.325461,76.632278,12.365461,76.672278,12:55:00,conditions Cloudy,High ,2.0,scooter ,1,No ,29
18.530963,73.828972,18.640963,73.938972,23:45:00,conditions Windy,Low ,0.0,motorcycle ,0,No ,9
17.458998,78.500366,17.488998,78.530366,00:10:00,conditions Cloudy,Low ,1.0,scooter ,1,No ,9
19.1813,72.836191,19.3113,72.966191,23:00:00,conditions Windy,Low ,0.0,motorcycle ,0,No ,7
11.022477,76.995667,11.032477,77.005667,10:40:00,conditions Stormy,Low ,2.0,motorcycle ,1,No ,5
22.727021,75.884167,22.747021,75.904167,09:00:00,conditions Sandstorms,Low ,0.0,motorcycle ,0,No ,9
12.979166,77.640709,13.069166,77.730709,21:40:00,conditions Sandstorms,Jam ,0.0,motorcycle ,1,No ,19
18.994237,72.825553,19.104237,72.935553,22:40:00,conditions Cloudy,Low ,2.0,scooter ,1,No ,12
12.284747,76.625861,12.414747,76.755861,20:20:00,conditions Fog,Jam ,1.0,scooter ,0,No ,32
21.175975,72.795503,21.195975,72.815503,11:10:00,conditions Sandstorms,Low ,2.0,scooter ,0,No ,2
11.000762,76.981876,11.130762,77.111876,20:45:00,conditions Cloudy,Jam ,1.0,motorcycle ,1,No ,28
21.173343,72.792731,21.283343,72.902731,23:35:00,conditions Sunny,Low ,0.0,motorcycle ,1,No ,13
26.479108,80.315042,26.499108,80.335042,10:50:00,conditions Cloudy,Low ,1.0,scooter ,0,No ,5
21.175104,72.804342,21.255104,72.884342,23:50:00,conditions Sunny,Low ,0.0,motorcycle ,1,No ,14
19.176269,72.836721,19.286269,72.946721,20:00:00,conditions Windy,Jam ,1.0,motorcycle ,0,No ,27
12.975377,77.696664,13.025377,77.746664,22:25:00,conditions Sandstorms,Low ,1.0,scooter ,0,No ,14
23.359194,85.325447,23.419194,85.385447,23:15:00,conditions Sunny,Low ,2.0,electric_scooter ,0,No ,3
12.297954,76.665169,12.307954,76.675169,09:30:00,conditions Cloudy,Low ,0.0,motorcycle ,0,No ,6
23.359407,85.325055,23.439407,85.405055,18:35:00,conditions Cloudy,Medium ,0.0,motorcycle ,1,No ,32
23.416792,85.316842,23.506792,85.406842,22:20:00,conditions Sandstorms,Low ,0.0,motorcycle ,1,No ,7
26.892312,75.806896,26.922313,75.836896,21:05:00,conditions Cloudy,Jam ,0.0,motorcycle ,0,No ,15
22.31279,73.170283,22.42279,73.280283,18:25:00,conditions NaN,NaN ,3.0,electric_scooter ,0,No ,15
22.761593,75.886362,22.871593,75.996362,18:50:00,conditions Fog,Medium ,1.0,scooter ,0,No ,29
11.026117,76.944652,11.066117,76.984652,15:05:00,conditions Sunny,High ,2.0,scooter ,0,No ,8
13.064181,80.236442,13.104181,80.276442,17:00:00,conditions Sandstorms,Medium ,2.0,motorcycle ,1,No ,18
26.483042,80.317833,26.533042,80.367833,22:35:00,conditions Sandstorms,Low ,1.0,scooter ,1,No ,8
11.000762,76.981876,11.130762,77.111876,00:15:00,conditions Windy,Low ,1.0,scooter ,0,No ,8
23.359033,85.325347,23.469033,85.435347,21:20:00,conditions Fog,Jam ,1.0,scooter ,1,No ,39
22.569358,88.433452,22.599358,88.463452,23:35:00,conditions Sunny,Low ,0.0,motorcycle ,0,No ,5
12.914264,77.6784,12.994264,77.7584,23:35:00,conditions Sunny,Low ,0.0,motorcycle ,1,No ,11
19.121999,72.908493,19.161999,72.948493,14:35:00,conditions Sunny,High ,2.0,scooter ,0,No ,13
21.157729,72.768726,21.167729,72.778726,10:25:00,conditions Fog,Low ,2.0,scooter ,1,No ,1
22.311603,73.165012,22.371603,73.225012,21:35:00,conditions Cloudy,Jam ,0.0,motorcycle ,0,No ,15
18.536562,73.896485,18.556562,73.916485,08:55:00,conditions Fog,Low ,2.0,motorcycle ,0,No ,8
22.745536,75.893106,22.765536,75.913106,09:05:00,conditions Cloudy,Low ,1.0,motorcycle ,0,No ,4
12.933298,77.614293,13.023298,77.704293,18:00:00,conditions Windy,Medium ,0.0,motorcycle ,2,No ,26
12.939496,77.625999,12.989496,77.675999,23:15:00,conditions Fog,Low ,1.0,motorcycle ,NaN ,No ,8
0.0,0.0,0.04,0.04,16:50:00,conditions Fog,Medium ,1.0,scooter ,1,No ,7
17.426228,78.407495,17.436228,78.417495,08:40:00,conditions Sandstorms,Low ,0.0,motorcycle ,1,No ,18
12.934365,77.616155,13.024365,77.706155,20:50:00,conditions Fog,Jam ,0.0,motorcycle ,0,Yes ,34
11.003669,76.976494,11.063669,77.036494,23:40:00,conditions Windy,Low ,0.0,motorcycle ,1,No ,10
18.543626,73.905101,18.573626,73.935101,23:40:00,conditions Stormy,Low ,2.0,scooter ,0,No ,9
22.311358,73.164798,22.381358,73.234798,20:05:00,conditions Fog,Jam ,1.0,motorcycle ,1,No ,25
12.986047,80.218114,13.096047,80.328114,21:30:00,conditions Sandstorms,Jam ,0.0,motorcycle ,1,No ,40
17.41233,78.449654,17.47233,78.509654,21:50:00,conditions Stormy,Jam ,1.0,scooter ,1,No ,24
21.17106,72.789292,21.25106,72.869292,19:55:00,conditions Sunny,Jam ,2.0,electric_scooter ,NaN ,No ,7
21.186884,72.793616,21.226884,72.833616,15:00:00,conditions Sandstorms,High ,1.0,scooter ,0,No ,13
11.026117,76.944652,11.056117,76.974652,18:20:00,conditions Fog,Medium ,0.0,motorcycle ,1,No ,17
0.0,0.0,0.04,0.04,12:30:00,conditions Cloudy,High ,0.0,motorcycle ,0,No ,16
19.065838,72.832658,19.135838,72.902658,23:50:00,conditions Cloudy,Low ,1.0,scooter ,1,No ,25
0.0,0.0,0.04,0.04,12:55:00,conditions Windy,High ,0.0,motorcycle ,1,No ,31
12.98041,77.640489,13.04041,77.700489,23:30:00,conditions Sandstorms,Low ,0.0,motorcycle ,0,No ,13
11.022477,76.995667,11.132477,77.105667,18:00:00,conditions Stormy,Medium ,0.0,motorcycle ,0,No ,20
0.0,0.0,0.02,0.02,10:35:00,conditions Windy,Low ,1.0,scooter ,1,No ,9
0.0,0.0,0.01,0.01,09:25:00,conditions Windy,Low ,1.0,scooter ,1,No ,17
12.310972,76.659264,12.350972,76.699264,12:45:00,conditions Cloudy,High ,0.0,motorcycle ,1,No ,18
11.025083,77.015393,11.105083,77.095393,17:20:00,conditions Sandstorms,Medium ,0.0,motorcycle ,1,No ,14
12.316967,76.603067,12.446967,76.733067,19:30:00,conditions Cloudy,Jam ,0.0,motorcycle ,1,No ,26
22.538731,88.364878,22.598731,88.424878,23:55:00,conditions Sandstorms,Low ,0.0,motorcycle ,0,No ,18
11.001753,76.986241,11.111753,77.096241,18:50:00,conditions Fog,Medium ,2.0,motorcycle ,1,No ,21
22.310237,73.158921,22.400237,73.248921,20:45:00,conditions Sunny,Jam ,0.0,motorcycle ,3,No ,34
23.359033,85.325347,23.439033,85.405347,22:25:00,conditions Windy,Low ,1.0,scooter ,1,No ,5
18.593481,73.785901,18.663481,73.855901,17:25:00,conditions Windy,Medium ,0.0,motorcycle ,1,No ,23
21.186438,72.794115,21.236438,72.844115,20:10:00,conditions Fog,Jam ,0.0,motorcycle ,0,No ,20
22.725748,75.898497,22.775748,75.948497,18:25:00,conditions Stormy,Medium ,1.0,scooter ,1,No ,12
0.0,0.0,0.07,0.07,00:00:00,conditions Fog,Low ,0.0,motorcycle ,0,No ,33
17.450851,78.379347,17.540851,78.469347,17:35:00,conditions Fog,Medium ,0.0,motorcycle ,3,No ,38
13.081878,80.248519,13.171878,80.338519,00:00:00,conditions Stormy,Low ,2.0,electric_scooter ,1,No ,9
10.035573,76.336958,10.105573,76.406958,18:35:00,conditions Windy,Medium ,1.0,motorcycle ,1,No ,11
22.308096,73.167753,22.388096,73.247753,21:45:00,conditions Windy,Jam ,1.0,motorcycle ,0,No ,34
12.975996,80.221898,12.985996,80.231898,08:55:00,conditions Windy,Low ,2.0,scooter ,0,No ,16
12.3085,76.665808,12.3385,76.695808,22:40:00,conditions Windy,Low ,1.0,scooter ,1,No ,16
19.178321,72.834715,19.188321,72.844715,11:50:00,conditions Windy,High ,1.0,motorcycle ,1,No ,21
0.0,0.0,0.06,0.06,23:40:00,conditions Stormy,Low ,2.0,scooter ,1,No ,9
26.910262,75.783013,26.990262,75.863013,19:15:00,conditions Sunny,Jam ,1.0,scooter ,0,No ,8
25.443994,81.860187,25.513994,81.930187,19:00:00,conditions Fog,Medium ,2.0,motorcycle ,1,No ,28
23.359194,85.325447,23.449194,85.415447,18:25:00,conditions Cloudy,Medium ,1.0,motorcycle ,1,No ,22
17.458998,78.500366,17.508998,78.550366,22:35:00,conditions Sandstorms,Low ,2.0,scooter ,1,No ,7
18.530963,73.828972,18.590963,73.888972,19:05:00,conditions Fog,Medium ,1.0,scooter ,1,No ,1
12.321214,76.621094,12.361214,76.661094,13:20:00,conditions Windy,High ,2.0,motorcycle ,1,No ,21
26.913483,75.803139,26.983483,75.873139,17:50:00,conditions Sandstorms,Medium ,0.0,motorcycle ,0,No ,33
12.3085,76.665808,12.3685,76.725808,18:05:00,conditions Windy,Medium ,0.0,motorcycle ,0,No ,15
19.055831,72.833984,19.115831,72.893984,20:05:00,conditions Cloudy,Jam ,2.0,motorcycle ,1,No ,12
12.337928,76.617889,12.407928,76.687889,21:20:00,conditions Fog,Jam ,0.0,motorcycle ,3,No ,33
23.351489,85.324253,23.421489,85.394253,19:45:00,conditions Fog,Jam ,0.0,motorcycle ,1,Yes ,32
22.728163,75.884212,22.808163,75.964212,19:20:00,conditions Stormy,Jam ,1.0,motorcycle ,0,No ,32
13.026286,80.275235,13.056286,80.305235,21:30:00,conditions Fog,Jam ,1.0,motorcycle ,1,No ,24
26.766536,75.837333,26.786536,75.857333,10:05:00,conditions Sandstorms,Low ,1.0,motorcycle ,1,No ,7
21.149834,72.778666,21.179834,72.808666,20:40:00,conditions Stormy,Jam ,1.0,scooter ,0,No ,15
12.3085,76.665808,12.3985,76.755808,21:25:00,conditions Sandstorms,Jam ,0.0,motorcycle ,1,Yes ,44
21.149669,72.772629,21.219669,72.842629,23:15:00,conditions Windy,Low ,2.0,motorcycle ,0,No ,11
17.411028,78.329645,17.451028,78.369645,15:10:00,conditions Cloudy,High ,1.0,motorcycle ,NaN ,No ,24
26.482581,80.315628,26.572581,80.405628,19:50:00,conditions Fog,Jam ,2.0,motorcycle ,1,No ,26
12.284747,76.625861,12.344747,76.685861,17:55:00,conditions Sunny,Medium ,1.0,motorcycle ,0,No ,7
26.911378,75.789034,26.921378,75.799034,09:10:00,conditions Sunny,Low ,0.0,motorcycle ,1,No ,6
13.02978,80.208812,13.10978,80.288812,20:05:00,conditions Sunny,Jam ,2.0,electric_scooter ,1,No ,17
12.323194,76.630583,12.363194,76.670583,12:55:00,conditions Fog,High ,2.0,motorcycle ,1,No ,16
18.563934,73.915367,18.653934,74.005367,21:55:00,conditions Fog,Jam ,0.0,motorcycle ,2,Yes ,36
22.569367,88.433187,22.629367,88.493187,20:05:00,conditions Sunny,Jam ,0.0,motorcycle ,0,No ,19
12.949934,77.699386,13.009934,77.759386,19:40:00,conditions Sandstorms,Jam ,0.0,motorcycle ,1,No ,13
21.175975,72.795503,21.255975,72.875503,22:50:00,conditions Sandstorms,Low ,1.0,scooter ,NaN ,No ,1
22.725835,75.887648,22.835835,75.997648,17:25:00,conditions Stormy,Medium ,1.0,motorcycle ,0,No ,18
18.536562,73.896485,18.596562,73.956485,19:40:00,conditions Cloudy,Jam ,0.0,motorcycle ,1,No ,15
23.416792,85.316842,23.436792,85.336842,10:45:00,conditions Sandstorms,Low ,2.0,motorcycle ,0,No ,1
30.89286,75.822199,30.92286,75.852199,18:20:00,conditions Windy,Medium ,1.0,scooter ,1,No ,16
12.310972,76.659264,12.330972,76.679264,10:25:00,conditions Stormy,Low ,0.0,motorcycle ,1,No ,13
26.913987,75.752891,26.993987,75.832891,18:05:00,conditions Fog,Medium ,1.0,motorcycle ,2,No ,29
11.001753,76.986241,11.021753,77.006241,09:00:00,conditions Fog,Low ,1.0,motorcycle ,0,No ,1
22.310237,73.158921,22.390237,73.238921,20:10:00,conditions Stormy,Jam ,2.0,electric_scooter ,NaN ,No ,22
12.933284,77.615428,13.003284,77.685428,18:10:00,conditions Fog,Medium ,0.0,motorcycle ,1,No ,33
12.297954,76.665169,12.337954,76.705169,15:40:00,conditions Fog,Medium ,1.0,scooter ,NaN ,No ,3
12.352058,76.60665,12.362058,76.61665,09:50:00,conditions Windy,Low ,2.0,electric_scooter ,0,No ,15
13.086438,80.220672,13.146439,80.280672,18:25:00,conditions Windy,Medium ,1.0,motorcycle ,0,No ,17
17.429585,78.392621,17.469585,78.432621,15:50:00,conditions Windy,Medium ,2.0,scooter ,1,No ,19
12.978453,77.643685,13.048453,77.713685,18:30:00,conditions Sandstorms,Medium ,0.0,motorcycle ,1,No ,23
13.044694,80.26147,13.084694,80.30147,17:00:00,conditions Fog,Medium ,1.0,motorcycle ,1,No ,9
12.98041,77.640489,13.11041,77.770489,18:15:00,conditions Sunny,Medium ,0.0,motorcycle ,1,No ,23
0.0,0.0,0.06,0.06,19:20:00,conditions Fog,Jam ,1.0,motorcycle ,1,No ,18
26.846156,75.8023,26.926156,75.8823,18:35:00,conditions Windy,Medium ,2.0,electric_scooter ,0,No ,5
25.449659,81.839744,25.479659,81.869744,20:45:00,conditions Stormy,Jam ,1.0,scooter ,1,No ,19
26.911927,75.797282,27.051927,75.937282,23:00:00,conditions Stormy,Low ,2.0,scooter ,1,No ,8
10.020683,76.310631,10.030683,76.320631,11:00:00,conditions Stormy,Low ,1.0,motorcycle ,1,No ,4
12.935662,77.61413,12.975662,77.65413,16:15:00,conditions Windy,Medium ,1.0,motorcycle ,1,No ,20
15.585658,73.743606,15.625658,73.783606,15:05:00,conditions Sunny,High ,0.0,motorcycle ,0,No ,18
0.0,0.0,0.13,0.13,20:25:00,conditions Fog,Jam ,0.0,motorcycle ,1,No ,29
17.429585,78.392621,17.519585,78.482621,19:15:00,conditions Cloudy,Medium ,2.0,motorcycle ,0,No ,20
26.766536,75.837333,26.896536,75.967333,18:20:00,conditions Sandstorms,Medium ,0.0,motorcycle ,1,No ,26
26.846156,75.8023,26.986156,75.9423,23:50:00,conditions Fog,Low ,0.0,motorcycle ,NaN ,No ,27
26.913987,75.752891,27.053987,75.892891,19:40:00,conditions Cloudy,Jam ,0.0,motorcycle ,1,No ,33
22.310526,73.170937,22.420526,73.280937,23:45:00,conditions Sunny,Low ,2.0,scooter ,1,No ,19
0.0,0.0,0.03,0.03,18:15:00,conditions Stormy,Medium ,2.0,scooter ,1,No ,15
12.972532,77.608179,13.022532,77.658179,18:25:00,conditions Fog,Medium ,2.0,electric_scooter ,1,No ,5
0.0,0.0,0.07,0.07,20:50:00,conditions Sandstorms,Jam ,1.0,scooter ,0,No ,14
19.103249,72.846749,19.193249,72.936749,21:15:00,conditions Windy,Jam ,0.0,motorcycle ,2,No ,29
17.426228,78.407495,17.506228,78.487495,23:50:00,conditions Windy,Low ,0.0,motorcycle ,1,No ,10
26.471617,80.313564,26.491617,80.333564,11:10:00,conditions Fog,Low ,1.0,motorcycle ,1,No ,5
19.866969,75.318894,19.976969,75.428894,23:00:00,conditions Sandstorms,Low ,1.0,motorcycle ,1,No ,6
18.593481,73.785901,18.603481,73.795901,11:15:00,conditions Sunny,Low ,2.0,scooter ,1,No ,9
12.906229,77.596791,12.986229,77.676791,23:40:00,conditions Fog,Low ,2.0,scooter ,0,No ,10
26.482581,80.315628,26.552581,80.385628,21:10:00,conditions Sunny,Jam ,2.0,scooter ,1,No ,15
12.933298,77.614293,13.013298,77.694293,19:40:00,conditions Cloudy,Jam ,0.0,motorcycle ,1,No ,33
22.751857,75.866699,22.881857,75.996699,23:05:00,conditions Windy,Low ,0.0,motorcycle ,0,No ,5
11.010375,76.95295,11.090375,77.03295,20:40:00,conditions Sunny,Jam ,0.0,motorcycle ,0,No ,19
17.483216,78.552111,17.523216,78.592111,12:50:00,conditions Stormy,High ,2.0,motorcycle ,0,No ,4
27.160934,78.044095,27.220934,78.104095,19:00:00,conditions Sunny,Medium ,1.0,motorcycle ,1,No ,1
11.006686,76.951736,11.056686,77.001736,22:50:00,conditions Sandstorms,Low ,0.0,motorcycle ,NaN ,No ,9
0.0,0.0,0.08,0.08,23:55:00,conditions Windy,Low ,1.0,motorcycle ,1,No ,19
25.457687,81.835585,25.497687,81.875585,15:30:00,conditions Cloudy,Medium ,2.0,motorcycle ,1,No ,1
